🕘️更新时间,#genre#
CCTV-2,http://125.89.163.44:8888/rtp/239.253.43.17:5146
CCTV-3,http://36.40.236.2:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://113.220.234.228:9999/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://111.165.217.44:50000/rtp/225.1.1.158:5002
CCTV-3,http://14.112.86.85:4022/rtp/239.77.0.169:5146
CCTV-3,http://[2409:8087:7008:20::2]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
CCTV-3,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV-3,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8
CCTV-3,http://14.112.86.85:4022/rtp/239.77.0.175:5146
CCTV-4,http://36.40.236.2:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://58.19.38.162:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://111.165.217.44:50000/rtp/225.1.1.150:5002
CCTV-4,http://14.112.86.85:4022/rtp/239.77.0.78:5146
CCTV-4,http://117.86.50.46:7777/rtp/239.49.8.131:6000
CCTV-4,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/index.m3u8
CCTV-4,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV-4,http://117.86.50.46:7777/rtp/239.49.1.4:6000
CCTV-4,http://123.113.237.161:8888/rtp/239.3.1.105:8092
CCTV-4,http://123.113.237.161:8888/rtp/239.3.1.213:4220
CCTV-5,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://113.220.234.228:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://111.165.217.44:50000/rtp/225.1.1.160:5002
CCTV-5,http://14.112.86.85:4022/rtp/239.77.0.170:5146
CCTV-5,http://14.112.86.85:4022/rtp/239.77.0.177:5146
CCTV-5,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
CCTV-5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8
CCTV-5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226019/index.m3u8
CCTV-5,http://117.86.50.46:7777/rtp/239.49.9.32:6000
CCTV-5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://111.165.217.44:50000/rtp/225.1.1.121:5002
CCTV-5+,http://14.112.86.85:4022/rtp/239.77.1.147:5146
CCTV-5+,http://117.86.50.46:7777/rtp/239.49.8.137:6000
CCTV-5+,http://123.113.237.161:8888/rtp/239.3.1.130:8004
CCTV-5+,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/index.m3u8
CCTV-5+,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225603/index.m3u8
CCTV-5+,http://125.89.163.44:8888/rtp/239.77.1.147:5146
CCTV-5+,http://123.113.187.204:8000/rtp/239.3.1.130:8004
CCTV-5+,http://223.145.224.60:8000/rtp/239.76.253.168:9000
CCTV-6,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://113.220.234.228:9999/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://111.165.217.44:50000/rtp/225.1.1.195:5002
CCTV-6,http://14.112.86.85:4022/rtp/239.77.0.171:5146
CCTV-6,http://14.112.86.85:4022/rtp/239.77.0.178:5146
CCTV-6,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/index.m3u8
CCTV-6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8
CCTV-6,http://117.86.50.46:7777/rtp/239.49.9.33:6000
CCTV-6,http://117.86.50.46:7777/rtp/239.49.1.6:6000
CCTV-7,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://113.220.234.228:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://111.165.217.44:50000/rtp/225.1.1.138:5002
CCTV-7,http://14.112.86.85:4022/rtp/239.77.1.167:5146
CCTV-7,http://117.86.50.46:7777/rtp/239.49.8.132:6000
CCTV-7,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/index.m3u8
CCTV-7,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8
CCTV-7,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/1.m3u8
CCTV-7,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-7,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225733/index.m3u8
CCTV-8,http://58.19.38.162:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://113.220.234.228:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://111.165.217.44:50000/rtp/225.1.1.196:5002
CCTV-8,http://14.112.86.85:4022/rtp/239.77.0.172:5146
CCTV-8,http://14.112.86.85:4022/rtp/239.77.0.181:5146
CCTV-8,http://[2409:8087:7008:20::2]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
CCTV-8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8
CCTV-8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV-8,http://117.86.50.46:7777/rtp/239.49.9.34:6000
CCTV-8,http://117.86.50.46:7777/rtp/239.49.1.8:6000
CCTV-9,http://58.19.38.162:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://113.220.234.228:9999/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://111.165.217.44:50000/rtp/225.1.1.119:5002
CCTV-9,http://14.112.86.85:4022/rtp/239.77.1.168:5146
CCTV-9,http://117.86.50.46:7777/rtp/239.49.8.133:6000
CCTV-9,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/index.m3u8
CCTV-9,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-9,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8
CCTV-9,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV-9,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225734/index.m3u8
CCTV-10,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://113.220.234.228:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://111.165.217.44:50000/rtp/225.1.1.140:5002
CCTV-10,http://14.112.86.85:4022/rtp/239.77.1.169:5146
CCTV-10,http://117.86.50.46:7777/rtp/239.49.8.134:6000
CCTV-10,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/index.m3u8
CCTV-10,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-10,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225730/index.m3u8
CCTV-10,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8
CCTV-10,http://117.86.50.46:7777/rtp/239.49.1.10:6000
CCTV-11,http://58.19.38.162:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://113.220.234.228:9999/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://111.165.217.44:50000/rtp/225.1.2.192:5002
CCTV-11,http://14.112.86.85:4022/rtp/239.77.1.238:5146
CCTV-11,http://117.86.50.46:7777/rtp/239.49.1.11:6000
CCTV-11,http://[2409:8087:7008:20::2]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/index.m3u8
CCTV-11,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-11,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225597/index.m3u8
CCTV-11,http://123.113.237.161:8888/rtp/239.3.1.152:8120
CCTV-11,http://125.89.163.44:8888/rtp/239.77.1.238:5146
CCTV-12,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://113.220.234.228:9999/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://111.165.217.44:50000/rtp/225.1.1.142:5002
CCTV-12,http://14.112.86.85:4022/rtp/239.77.1.170:5146
CCTV-12,http://117.86.50.46:7777/rtp/239.49.8.135:6000
CCTV-12,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/index.m3u8
CCTV-12,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV-12,http://117.86.50.46:7777/rtp/239.49.1.12:6000
CCTV-12,http://123.113.237.161:8888/rtp/239.3.1.64:8124
CCTV-13,http://58.19.38.162:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://111.165.217.44:50000/rtp/225.1.2.193:5002
CCTV-13,http://14.112.86.85:4022/rtp/239.253.43.196:5146
CCTV-13,http://117.86.50.46:7777/rtp/239.49.9.43:6000
CCTV-13,http://117.86.50.46:7777/rtp/239.49.1.13:6000
CCTV-13,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/index.m3u8
CCTV-13,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV-13,http://123.113.237.161:8888/rtp/239.3.1.124:8128
CCTV-13,http://125.89.163.44:8888/rtp/239.253.43.196:5146
CCTV-13,http://123.113.187.204:8000/rtp/239.3.1.124:8128
CCTV-14,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://113.220.234.228:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://111.165.217.44:50000/rtp/225.1.1.144:5002
CCTV-14,http://14.112.86.85:4022/rtp/239.77.1.171:5146
CCTV-14,http://117.86.50.46:7777/rtp/239.49.8.136:6000
CCTV-14,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/index.m3u8
CCTV-14,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225732/index.m3u8
CCTV-14,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8
CCTV-14,http://117.86.50.46:7777/rtp/239.49.1.14:6000
CCTV-14,http://123.113.237.161:8888/rtp/239.3.1.65:8132
CCTV-15,http://58.19.38.162:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://111.165.217.44:50000/rtp/225.1.2.194:5002
CCTV-15,http://14.112.86.85:4022/rtp/239.77.1.239:5146
CCTV-15,http://117.86.50.46:7777/rtp/239.49.1.15:6000
CCTV-15,http://123.113.237.161:8888/rtp/239.3.1.153:8136
CCTV-15,http://[2409:8087:7008:20::2]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/index.m3u8
CCTV-15,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225601/index.m3u8
CCTV-15,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-15,http://125.89.163.44:8888/rtp/239.77.1.239:5146
CCTV-15,http://123.113.187.204:8000/rtp/239.3.1.153:8136
CCTV-16,http://111.165.217.44:50000/rtp/225.1.2.237:5002
CCTV-16,http://14.112.86.85:4022/rtp/239.77.1.76:5146
CCTV-16,http://123.113.237.161:8888/rtp/239.3.1.183:8001
CCTV-16,http://123.113.237.161:8888/rtp/239.3.1.184:8001
CCTV-16,http://125.89.163.44:8888/rtp/239.77.1.76:5146
CCTV-16,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/index.m3u8
CCTV-16,http://123.113.187.204:8000/rtp/239.3.1.183:8001
CCTV-16,http://123.113.187.204:8000/rtp/239.3.1.184:8001
CCTV-16,http://223.145.224.60:8000/rtp/239.76.253.98:9000
CCTV-16,http://119.134.111.179:8888/rtp/239.77.1.76:5146
CCTV-17,http://111.165.217.44:50000/rtp/225.1.2.52:5002
CCTV-17,http://14.112.86.85:4022/rtp/239.77.1.121:5146
CCTV-17,http://117.86.50.46:7777/rtp/239.49.1.7:6000
CCTV-17,http://123.113.237.161:8888/rtp/239.3.1.151:8144
CCTV-17,http://125.89.163.44:8888/rtp/239.77.1.121:5146
CCTV-17,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/index.m3u8
CCTV-17,http://[2409:8087:1a01:df::4025]:80/TVOD/88888888/224/3221225708/main.m3u8
CCTV-17,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/1.m3u8
CCTV-17,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8
CCTV-17,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8CCTV1
CETV1,http://123.113.237.161:8888/rtp/239.3.1.57:8152
CETV1,http://123.113.187.204:8000/rtp/239.3.1.57:8152
CETV1,http://114.253.57.101:10000/rtp/239.3.1.57:8152
CETV1,http://114.252.236.205:8000/rtp/239.3.1.57:8152
CETV1,http://114.240.224.31:3000/rtp/239.3.1.57:8152
CETV1,http://111.196.135.75:8686/rtp/239.3.1.57:8152
CETV1,http://112.255.69.58:6666/rtp/239.253.254.110:8000
CETV1,http://183.191.227.128:8083/rtp/226.0.2.68:8456
CETV1,http://183.191.227.128:8083/rtp/226.0.2.181:9360
CETV1,http://221.222.162.206:8888/rtp/239.3.1.57:8152
CETV2,http://123.113.237.161:8888/rtp/239.3.1.54:4120
CETV2,http://123.113.187.204:8000/rtp/239.3.1.54:4120
CETV2,http://114.253.57.101:10000/rtp/239.3.1.54:4120
CETV2,http://114.252.236.205:8000/rtp/239.3.1.54:4120
CETV2,http://114.240.224.31:3000/rtp/239.3.1.54:4120
CETV2,http://111.196.135.75:8686/rtp/239.3.1.54:4120
CETV2,http://60.2.190.206:4000/rtp/239.253.92.108:6136
CETV2,http://183.191.227.128:8083/rtp/226.0.2.69:8464
CETV2,http://221.222.162.206:8888/rtp/239.3.1.54:4120
CETV2,http://139.129.231.228:3529/rtp/239.21.2.8:5002
CETV4,http://123.113.237.161:8888/rtp/239.3.1.56:4120
CETV4,http://123.113.187.204:8000/rtp/239.3.1.56:4120
CETV4,http://114.253.57.101:10000/rtp/239.3.1.56:4120
CETV4,http://114.252.236.205:8000/rtp/239.3.1.56:4120
CETV4,http://114.240.224.31:3000/rtp/239.3.1.56:4120
CETV4,http://111.196.135.75:8686/rtp/239.3.1.56:4120
CETV4,http://112.255.69.58:6666/rtp/239.253.254.116:8000
CETV4,http://60.2.190.206:4000/rtp/239.253.92.200:6137
CETV4,http://183.191.227.128:8083/rtp/226.0.2.70:8472
CETV4,http://221.222.162.206:8888/rtp/239.3.1.56:4120

💰央视付费频道,#genre#
文化精品,http://117.86.50.46:7777/rtp/239.49.9.11:6000
文化精品,http://117.86.50.46:7777/rtp/239.49.1.66:6000
文化精品,http://223.145.224.60:8000/rtp/239.76.254.56:9000
文化精品,http://180.102.250.10:8118/rtp/239.49.9.11:6000
文化精品,http://180.102.250.10:8118/rtp/239.49.1.66:6000
文化精品,http://121.238.91.151:8888/rtp/239.49.9.11:6000
文化精品,http://121.238.91.151:8888/rtp/239.49.1.66:6000
文化精品,http://60.2.190.206:4000/rtp/239.253.92.25:6104
文化精品,http://60.2.190.206:4000/rtp/239.253.93.175:6439
文化精品,http://117.86.49.151:7777/rtp/239.49.9.11:6000
央视台球,http://117.86.50.46:7777/rtp/239.49.9.22:6000
央视台球,http://223.145.224.60:8000/rtp/239.76.254.58:9000
央视台球,http://180.102.250.10:8118/rtp/239.49.9.22:6000
央视台球,http://121.238.91.151:8888/rtp/239.49.9.22:6000
央视台球,http://183.66.15.138:4070/rtp/235.254.198.92:1644
央视台球,http://60.2.190.206:4000/rtp/239.253.93.231:6409
央视台球,http://117.86.49.151:7777/rtp/239.49.9.22:6000
央视台球,http://117.88.22.70:4022/rtp/239.49.9.22:6000
央视台球,http://180.120.117.242:9999/rtp/239.49.9.22:6000
央视台球,http://223.145.224.216:8000/rtp/239.76.254.58:9000
风云音乐,http://117.86.50.46:7777/rtp/239.49.9.13:6000
风云音乐,http://117.86.50.46:7777/rtp/239.49.1.68:6000
风云音乐,http://223.145.224.60:8000/rtp/239.76.254.51:9000
风云音乐,http://180.102.250.10:8118/rtp/239.49.9.13:6000
风云音乐,http://180.102.250.10:8118/rtp/239.49.1.68:6000
风云音乐,http://121.238.91.151:8888/rtp/239.49.9.13:6000
风云音乐,http://121.238.91.151:8888/rtp/239.49.1.68:6000
风云音乐,http://60.2.190.206:4000/rtp/239.253.92.111:8060
风云音乐,http://60.2.190.206:4000/rtp/239.253.93.253:6431
风云音乐,http://117.86.49.151:7777/rtp/239.49.9.13:6000
第一剧场,http://58.19.38.162:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://117.86.50.46:7777/rtp/239.49.9.15:6000
第一剧场,http://117.86.50.46:7777/rtp/239.49.1.226:6000
第一剧场,http://223.145.224.60:8000/rtp/239.76.254.49:9000
第一剧场,http://180.102.250.10:8118/rtp/239.49.9.15:6000
第一剧场,http://180.102.250.10:8118/rtp/239.49.1.226:6000
第一剧场,http://121.238.91.151:8888/rtp/239.49.9.15:6000
第一剧场,http://121.238.91.151:8888/rtp/239.49.1.226:6000
第一剧场,http://60.2.190.206:4000/rtp/239.253.92.18:6079
第一剧场,http://60.2.190.206:4000/rtp/239.253.93.138:6428
风云剧场,http://117.86.50.46:7777/rtp/239.49.9.10:6000
风云剧场,http://117.86.50.46:7777/rtp/239.49.1.65:6000
风云剧场,http://223.145.224.60:8000/rtp/239.76.254.50:9000
风云剧场,http://180.102.250.10:8118/rtp/239.49.9.10:6000
风云剧场,http://180.102.250.10:8118/rtp/239.49.1.65:6000
风云剧场,http://121.238.91.151:8888/rtp/239.49.9.10:6000
风云剧场,http://121.238.91.151:8888/rtp/239.49.1.65:6000
风云剧场,http://60.2.190.206:4000/rtp/239.253.92.22:6073
风云剧场,http://60.2.190.206:4000/rtp/239.253.93.251:6429
风云剧场,http://117.86.49.151:7777/rtp/239.49.9.10:6000
怀旧剧场,http://117.86.50.46:7777/rtp/239.49.9.12:6000
怀旧剧场,http://117.86.50.46:7777/rtp/239.49.1.67:6000
怀旧剧场,http://223.145.224.60:8000/rtp/239.76.254.53:9000
怀旧剧场,http://180.102.250.10:8118/rtp/239.49.9.12:6000
怀旧剧场,http://180.102.250.10:8118/rtp/239.49.1.67:6000
怀旧剧场,http://121.238.91.151:8888/rtp/239.49.9.12:6000
怀旧剧场,http://121.238.91.151:8888/rtp/239.49.1.67:6000
怀旧剧场,http://60.2.190.206:4000/rtp/239.253.92.98:6120
怀旧剧场,http://60.2.190.206:4000/rtp/239.253.93.252:6430
怀旧剧场,http://117.86.49.151:7777/rtp/239.49.9.12:6000
女性时尚,http://117.86.50.46:7777/rtp/239.49.9.14:6000
女性时尚,http://117.86.50.46:7777/rtp/239.49.1.69:6000
女性时尚,http://180.102.250.10:8118/rtp/239.49.9.14:6000
女性时尚,http://180.102.250.10:8118/rtp/239.49.1.69:6000
女性时尚,http://121.238.91.151:8888/rtp/239.49.9.14:6000
女性时尚,http://121.238.91.151:8888/rtp/239.49.1.69:6000
女性时尚,http://60.2.190.206:4000/rtp/239.253.92.249:6103
女性时尚,http://60.2.190.206:4000/rtp/239.253.92.144:6114
女性时尚,http://117.86.49.151:7777/rtp/239.49.9.14:6000
女性时尚,http://117.86.49.151:7777/rtp/239.49.1.69:6000
高尔夫网球,http://60.2.190.206:4000/rtp/239.253.92.117:8062
高尔夫网球,http://60.2.190.206:4000/rtp/239.253.93.122:6465
风云足球,http://58.19.38.162:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://117.86.50.46:7777/rtp/239.49.9.6:6000
风云足球,http://117.86.50.46:7777/rtp/239.49.1.61:6000
风云足球,http://223.145.224.60:8000/rtp/239.76.254.52:9000
风云足球,http://180.102.250.10:8118/rtp/239.49.9.6:6000
风云足球,http://180.102.250.10:8118/rtp/239.49.1.61:6000
风云足球,http://121.238.91.151:8888/rtp/239.49.9.6:6000
风云足球,http://121.238.91.151:8888/rtp/239.49.1.61:6000
风云足球,http://60.2.190.206:4000/rtp/239.253.92.110:8061
风云足球,http://60.2.190.206:4000/rtp/239.253.93.254:6432
电视指南,http://117.86.50.46:7777/rtp/239.49.9.5:6000
电视指南,http://117.86.50.46:7777/rtp/239.49.1.60:6000
电视指南,http://223.145.224.60:8000/rtp/239.76.254.61:9000
电视指南,http://180.102.250.10:8118/rtp/239.49.9.5:6000
电视指南,http://180.102.250.10:8118/rtp/239.49.1.60:6000
电视指南,http://121.238.91.151:8888/rtp/239.49.9.5:6000
电视指南,http://121.238.91.151:8888/rtp/239.49.1.60:6000
电视指南,http://60.2.190.206:4000/rtp/239.253.92.17:6078
电视指南,http://60.2.190.206:4000/rtp/239.253.93.249:6427
电视指南,http://117.86.49.151:7777/rtp/239.49.9.5:6000
世界地理,http://117.86.50.46:7777/rtp/239.49.9.8:6000
世界地理,http://117.86.50.46:7777/rtp/239.49.1.63:6000
世界地理,http://223.145.224.60:8000/rtp/239.76.254.57:9000
世界地理,http://180.102.250.10:8118/rtp/239.49.9.8:6000
世界地理,http://180.102.250.10:8118/rtp/239.49.1.63:6000
世界地理,http://121.238.91.151:8888/rtp/239.49.9.8:6000
世界地理,http://121.238.91.151:8888/rtp/239.49.1.63:6000
世界地理,http://60.2.190.206:4000/rtp/239.253.92.113:8066
世界地理,http://60.2.190.206:4000/rtp/239.253.92.131:6113
世界地理,http://117.86.49.151:7777/rtp/239.49.9.8:6000
兵器科技,http://117.86.50.46:7777/rtp/239.49.9.9:6000
兵器科技,http://117.86.50.46:7777/rtp/239.49.1.64:6000
兵器科技,http://223.145.224.60:8000/rtp/239.76.254.59:9000
兵器科技,http://180.102.250.10:8118/rtp/239.49.9.9:6000
兵器科技,http://180.102.250.10:8118/rtp/239.49.1.64:6000
兵器科技,http://121.238.91.151:8888/rtp/239.49.9.9:6000
兵器科技,http://121.238.91.151:8888/rtp/239.49.1.64:6000
兵器科技,http://60.2.190.206:4000/rtp/239.253.92.119:8065
兵器科技,http://60.2.190.206:4000/rtp/239.253.93.47:6435
兵器科技,http://117.86.49.151:7777/rtp/239.49.9.9:6000

📡卫视频道,#genre#
广东卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/gdws-hd/2500.m3u8?innersid=2310031483208039305
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
广东卫视,http://113.57.111.4:1111/tsfile/live/1022_1.m3u8
广东卫视,http://113.57.111.4:1111/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://58.19.38.162:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
